Total glosses: 2000
liability: 7 video(s)
librarian: 7 video(s)
license: 7 video(s)
little bit: 7 video(s)
loan: 7 video(s)
look at: 7 video(s)
look for: 7 video(s)
lord: 7 video(s)
m: 7 video(s)
meaning: 7 video(s)
melody: 7 video(s)
melt: 7 video(s)
mention: 7 video(s)
microscope: 7 video(s)
midnight: 7 video(s)
military: 7 video(s)
mine: 7 video(s)
mistake: 7 video(s)
mock: 7 video(s)
moose: 7 video(s)
mosquito: 7 video(s)
motivate: 7 video(s)
murder: 7 video(s)
n: 7 video(s)
narrow: 7 video(s)
necessary: 7 video(s)
negotiate: 7 video(s)
new york: 7 video(s)
nine: 7 video(s)
northwest: 7 video(s)
not yet: 7 video(s)
notice: 7 video(s)
numerous: 7 video(s)
nun: 7 video(s)
o: 7 video(s)
objective: 7 video(s)
obsess: 7 video(s)
obtain: 7 video(s)
occur: 7 video(s)
odor: 7 video(s)
olympics: 7 video(s)
or: 7 video(s)
oral: 7 video(s)
our: 7 video(s)
overcome: 7 video(s)
pack: 7 video(s)
painter: 7 video(s)
part: 7 video(s)
pause: 7 video(s)
peaceful: 7 video(s)
pear: 7 video(s)
peel: 7 video(s)
penalty: 7 video(s)
pennsylvania: 7 video(s)
penny: 7 video(s)
permit: 7 video(s)
phrase: 7 video(s)
pickle: 7 video(s)
pilot: 7 video(s)
player: 7 video(s)
polar bear: 7 video(s)
policeman: 7 video(s)
poop: 7 video(s)
post: 7 video(s)
potential: 7 video(s)
poverty: 7 video(s)
precious: 7 video(s)
precipitation: 7 video(s)
precise: 7 video(s)
preschool: 7 video(s)
pride: 7 video(s)
prince: 7 video(s)
princess: 7 video(s)
principle: 7 video(s)
process: 7 video(s)
profit: 7 video(s)
progress: 7 video(s)
propaganda: 7 video(s)
proper: 7 video(s)
psychologist: 7 video(s)
public: 7 video(s)
publish: 7 video(s)
purchase: 7 video(s)
pure: 7 video(s)
pursue: 7 video(s)
put off: 7 video(s)
q: 7 video(s)
quality: 7 video(s)
quarrel: 7 video(s)
quarter: 7 video(s)
r: 7 video(s)
rage: 7 video(s)
rather: 7 video(s)
real: 7 video(s)
recliner: 7 video(s)
recommend: 7 video(s)
recover: 7 video(s)
regular: 7 video(s)
release: 7 video(s)
relief: 7 video(s)
rely: 7 video(s)
reply: 7 video(s)
rescue: 7 video(s)
resist: 7 video(s)
restroom: 7 video(s)
retreat: 7 video(s)
roar: 7 video(s)
robber: 7 video(s)
roommate: 7 video(s)
rose: 7 video(s)
ruin: 7 video(s)
s: 7 video(s)
salary: 7 video(s)
saw: 7 video(s)
scan: 7 video(s)
scream: 7 video(s)
sculpture: 7 video(s)
sea: 7 video(s)
seldom: 7 video(s)
sequence: 7 video(s)
settle: 7 video(s)
shout: 7 video(s)
shovel: 7 video(s)
sin: 7 video(s)
singer: 7 video(s)
sixteen: 7 video(s)
ski: 7 video(s)
skip: 7 video(s)
smoking: 7 video(s)
sofa: 7 video(s)
soldier: 7 video(s)
solve: 7 video(s)
someday: 7 video(s)
something: 7 video(s)
somewhere: 7 video(s)
soul: 7 video(s)
spill: 7 video(s)
spit: 7 video(s)
spread: 7 video(s)
sprint: 7 video(s)
squeeze: 7 video(s)
stadium: 7 video(s)
stepfather: 7 video(s)
sting: 7 video(s)
stir: 7 video(s)
stitch: 7 video(s)
stuck: 7 video(s)
sue: 7 video(s)
sunshine: 7 video(s)
superman: 7 video(s)
surrender: 7 video(s)
suspend: 7 video(s)
swimming: 7 video(s)
t: 7 video(s)
talent: 7 video(s)
telescope: 7 video(s)
tempt: 7 video(s)
ten: 7 video(s)
tend: 7 video(s)
testify: 7 video(s)
texas: 7 video(s)
text: 7 video(s)
than: 7 video(s)
therefore: 7 video(s)
thrill: 7 video(s)
tobacco: 7 video(s)
toilet paper: 7 video(s)
tolerate: 7 video(s)
torture: 7 video(s)
towel: 7 video(s)
trip: 7 video(s)
truth: 7 video(s)
turn: 7 video(s)
tv: 7 video(s)
u: 7 video(s)
unique: 7 video(s)
upstairs: 7 video(s)
v: 7 video(s)
vacant: 7 video(s)
vague: 7 video(s)
valley: 7 video(s)
vampire: 7 video(s)
very: 7 video(s)
vice president: 7 video(s)
viewpoint: 7 video(s)
visualize: 7 video(s)
vlog: 7 video(s)
volleyball: 7 video(s)
w: 7 video(s)
washington: 7 video(s)
waterfall: 7 video(s)
weigh: 7 video(s)
wheelchair: 7 video(s)
whistle: 7 video(s)
responsibility: 8 video(s)
a: 8 video(s)
a lot: 8 video(s)
abdomen: 8 video(s)
able: 8 video(s)
accountant: 8 video(s)
action: 8 video(s)
active: 8 video(s)
activity: 8 video(s)
address: 8 video(s)
affect: 8 video(s)
afraid: 8 video(s)
against: 8 video(s)
agenda: 8 video(s)
ahead: 8 video(s)
aim: 8 video(s)
alcohol: 8 video(s)
algebra: 8 video(s)
all day: 8 video(s)
amazing: 8 video(s)
angle: 8 video(s)
apart: 8 video(s)
apostrophe: 8 video(s)
appetite: 8 video(s)
appreciate: 8 video(s)
april: 8 video(s)
archery: 8 video(s)
around: 8 video(s)
article: 8 video(s)
assistant: 8 video(s)
attend: 8 video(s)
auction: 8 video(s)
authority: 8 video(s)
average: 8 video(s)
awake: 8 video(s)
b: 8 video(s)
babysitter: 8 video(s)
battle: 8 video(s)
beginning: 8 video(s)
belief: 8 video(s)
bible: 8 video(s)
bike: 8 video(s)
blend: 8 video(s)
bone: 8 video(s)
bra: 8 video(s)
brief: 8 video(s)
broke: 8 video(s)
bug: 8 video(s)
bully: 8 video(s)
button: 8 video(s)
cabbage: 8 video(s)
cabinet: 8 video(s)
calculate: 8 video(s)
calculator: 8 video(s)
calculus: 8 video(s)
camping: 8 video(s)
canoe: 8 video(s)
careless: 8 video(s)
ceiling: 8 video(s)
cemetery: 8 video(s)
chapter: 8 video(s)
choir: 8 video(s)
circle: 8 video(s)
come: 8 video(s)
come here: 8 video(s)
company: 8 video(s)
concept: 8 video(s)
concern: 8 video(s)
confront: 8 video(s)
confused: 8 video(s)
congress: 8 video(s)
connect: 8 video(s)
conquer: 8 video(s)
constitution: 8 video(s)
contract: 8 video(s)
court: 8 video(s)
crab: 8 video(s)
cross: 8 video(s)
cruel: 8 video(s)
crush: 8 video(s)
date: 8 video(s)
december: 8 video(s)
decrease: 8 video(s)
deduct: 8 video(s)
defeat: 8 video(s)
deposit: 8 video(s)
depressed: 8 video(s)
detach: 8 video(s)
determine: 8 video(s)
diabetes: 8 video(s)
dime: 8 video(s)
dirt: 8 video(s)
disgust: 8 video(s)
dismiss: 8 video(s)
dizzy: 8 video(s)
document: 8 video(s)
dorm: 8 video(s)
dormitory: 8 video(s)
downstairs: 8 video(s)
economy: 8 video(s)
education: 8 video(s)
effort: 8 video(s)
eighteen: 8 video(s)
engage: 8 video(s)
engagement: 8 video(s)
engineer: 8 video(s)
envelope: 8 video(s)
erase: 8 video(s)
eternity: 8 video(s)
evening: 8 video(s)
everyday: 8 video(s)
expand: 8 video(s)
eye: 8 video(s)
eyes: 8 video(s)
fake: 8 video(s)
farmer: 8 video(s)
february: 8 video(s)
federal: 8 video(s)
final: 8 video(s)
florida: 8 video(s)
flute: 8 video(s)
forbid: 8 video(s)
forever: 8 video(s)
fourth: 8 video(s)
free: 8 video(s)
french fries: 8 video(s)
gamble: 8 video(s)
gas: 8 video(s)
gasoline: 8 video(s)
generation: 8 video(s)
geography: 8 video(s)
german: 8 video(s)
girlfriend: 8 video(s)
gold: 8 video(s)
grandma: 8 video(s)
grass: 8 video(s)
grow up: 8 video(s)
gun: 8 video(s)
haircut: 8 video(s)
hard of hearing: 8 video(s)
hippopotamus: 8 video(s)
his: 8 video(s)
honey: 8 video(s)
hurricane: 8 video(s)
identify: 8 video(s)
include: 8 video(s)
infection: 8 video(s)
innocent: 8 video(s)
insect: 8 video(s)
instead: 8 video(s)
institute: 8 video(s)
international: 8 video(s)
interrupt: 8 video(s)
involve: 8 video(s)
jail: 8 video(s)
january: 8 video(s)
joke: 8 video(s)
june: 8 video(s)
kangaroo: 8 video(s)
karate: 8 video(s)
kick: 8 video(s)
kneel: 8 video(s)
knock: 8 video(s)
laptop: 8 video(s)
lift: 8 video(s)
lightning: 8 video(s)
lip: 8 video(s)
lipstick: 8 video(s)
local: 8 video(s)
manage: 8 video(s)
mature: 8 video(s)
member: 8 video(s)
message: 8 video(s)
metal: 8 video(s)
microphone: 8 video(s)
mix: 8 video(s)
monthly: 8 video(s)
motor: 8 video(s)
nation: 8 video(s)
network: 8 video(s)
nickel: 8 video(s)
nineteen: 8 video(s)
normal: 8 video(s)
november: 8 video(s)
nut: 8 video(s)
octopus: 8 video(s)
once: 8 video(s)
organize: 8 video(s)
over: 8 video(s)
owl: 8 video(s)
p: 8 video(s)
parachute: 8 video(s)
paragraph: 8 video(s)
parallel: 8 video(s)
pay attention: 8 video(s)
peace: 8 video(s)
peanut butter: 8 video(s)
perfume: 8 video(s)
personality: 8 video(s)
pet: 8 video(s)
philadelphia: 8 video(s)
physician: 8 video(s)
piece: 8 video(s)
pity: 8 video(s)
plant: 8 video(s)
plenty: 8 video(s)
pneumonia: 8 video(s)
politics: 8 video(s)
position: 8 video(s)
pound: 8 video(s)
pour: 8 video(s)
praise: 8 video(s)
preach: 8 video(s)
preacher: 8 video(s)
prefer: 8 video(s)
pressure: 8 video(s)
principal: 8 video(s)
priority: 8 video(s)
professional: 8 video(s)
professor: 8 video(s)
promote: 8 video(s)
prostitute: 8 video(s)
proud: 8 video(s)
quote: 8 video(s)
receive: 8 video(s)
recent: 8 video(s)
reduce: 8 video(s)
refer: 8 video(s)
referee: 8 video(s)
relate: 8 video(s)
relax: 8 video(s)
remote control: 8 video(s)
rent: 8 video(s)
reputation: 8 video(s)
resign: 8 video(s)
responsible: 8 video(s)
ridiculous: 8 video(s)
road: 8 video(s)
robot: 8 video(s)
rubber: 8 video(s)
safe: 8 video(s)
sauce: 8 video(s)
sausage: 8 video(s)
scold: 8 video(s)
senior: 8 video(s)
september: 8 video(s)
several: 8 video(s)
shame: 8 video(s)
shave: 8 video(s)
shoulder: 8 video(s)
silver: 8 video(s)
simple: 8 video(s)
siren: 8 video(s)
size: 8 video(s)
skate: 8 video(s)
skin: 8 video(s)
skunk: 8 video(s)
slice: 8 video(s)
smooth: 8 video(s)
snack: 8 video(s)
snowman: 8 video(s)
society: 8 video(s)
someone: 8 video(s)
song: 8 video(s)
sore throat: 8 video(s)
south america: 8 video(s)
spanish: 8 video(s)
speak: 8 video(s)
speed: 8 video(s)
spell: 8 video(s)
spoon: 8 video(s)
spring: 8 video(s)
standard: 8 video(s)
statistics: 8 video(s)
sticky: 8 video(s)
still: 8 video(s)
stretch: 8 video(s)
surgeon: 8 video(s)
sweden: 8 video(s)
swimsuit: 8 video(s)
sympathy: 8 video(s)
take turns: 8 video(s)
take up: 8 video(s)
technology: 8 video(s)
temple: 8 video(s)
tender: 8 video(s)
thailand: 8 video(s)
theater: 8 video(s)
them: 8 video(s)
theme: 8 video(s)
thick: 8 video(s)
this: 8 video(s)
throat: 8 video(s)
tissue: 8 video(s)
tongue: 8 video(s)
tonight: 8 video(s)
tornado: 8 video(s)
tower: 8 video(s)
tranquil: 8 video(s)
transform: 8 video(s)
tutor: 8 video(s)
twin: 8 video(s)
value: 8 video(s)
visitor: 8 video(s)
waiter: 8 video(s)
wake up: 8 video(s)
wallet: 8 video(s)
wander: 8 video(s)
wash face: 8 video(s)
weight: 8 video(s)
whale: 8 video(s)
whatever: 8 video(s)
within: 8 video(s)
wonder: 8 video(s)
worker: 8 video(s)
worthless: 8 video(s)
wrap: 8 video(s)
cost: 9 video(s)
diarrhea: 9 video(s)
ocean: 9 video(s)
thermometer: 9 video(s)
above: 9 video(s)
accomplish: 9 video(s)
adopt: 9 video(s)
advantage: 9 video(s)
alphabet: 9 video(s)
anniversary: 9 video(s)
another: 9 video(s)
appropriate: 9 video(s)
arrogant: 9 video(s)
artist: 9 video(s)
background: 9 video(s)
bee: 9 video(s)
behavior: 9 video(s)
bell: 9 video(s)
birth: 9 video(s)
bless: 9 video(s)
blood: 9 video(s)
boots: 9 video(s)
brave: 9 video(s)
breathe: 9 video(s)
bright: 9 video(s)
bull: 9 video(s)
butterfly: 9 video(s)
card: 9 video(s)
category: 9 video(s)
catholic: 9 video(s)
cent: 9 video(s)
chemistry: 9 video(s)
cherry: 9 video(s)
china: 9 video(s)
chop: 9 video(s)
christian: 9 video(s)
cigarette: 9 video(s)
clever: 9 video(s)
clown: 9 video(s)
coach: 9 video(s)
coat: 9 video(s)
cochlear implant: 9 video(s)
coconut: 9 video(s)
common: 9 video(s)
commute: 9 video(s)
control: 9 video(s)
count: 9 video(s)
culture: 9 video(s)
daily: 9 video(s)
defend: 9 video(s)
degree: 9 video(s)
demonstrate: 9 video(s)
department: 9 video(s)
die: 9 video(s)
dig: 9 video(s)
dinner: 9 video(s)
dinosaur: 9 video(s)
diploma: 9 video(s)
director: 9 video(s)
disconnect: 9 video(s)
discover: 9 video(s)
don't want: 9 video(s)
drum: 9 video(s)
each: 9 video(s)
educate: 9 video(s)
electrician: 9 video(s)
empty: 9 video(s)
england: 9 video(s)
establish: 9 video(s)
excuse: 9 video(s)
eyeglasses: 9 video(s)
faculty: 9 video(s)
fall in love: 9 video(s)
famous: 9 video(s)
farm: 9 video(s)
fence: 9 video(s)
fix: 9 video(s)
flexible: 9 video(s)
flirt: 9 video(s)
flood: 9 video(s)
fork: 9 video(s)
four: 9 video(s)
fun: 9 video(s)
funeral: 9 video(s)
furniture: 9 video(s)
gallaudet: 9 video(s)
general: 9 video(s)
ghost: 9 video(s)
give up: 9 video(s)
glass: 9 video(s)
gorilla: 9 video(s)
gray: 9 video(s)
guide: 9 video(s)
habit: 9 video(s)
health: 9 video(s)
hearing aid: 9 video(s)
heaven: 9 video(s)
heavy: 9 video(s)
helmet: 9 video(s)
hide: 9 video(s)
high school: 9 video(s)
hockey: 9 video(s)
hold: 9 video(s)
honest: 9 video(s)
hug: 9 video(s)
hunt: 9 video(s)
image: 9 video(s)
influence: 9 video(s)
interesting: 9 video(s)
interpreter: 9 video(s)
iran: 9 video(s)
italy: 9 video(s)
jewish: 9 video(s)
judge: 9 video(s)
key: 9 video(s)
label: 9 video(s)
leaf: 9 video(s)
left: 9 video(s)
lend: 9 video(s)
less: 9 video(s)
linguistics: 9 video(s)
lonely: 9 video(s)
long: 9 video(s)
magic: 9 video(s)
mainstream: 9 video(s)
major: 9 video(s)
manager: 9 video(s)
maximum: 9 video(s)
me: 9 video(s)
mexico: 9 video(s)
middle: 9 video(s)
mind: 9 video(s)
misunderstand: 9 video(s)
monster: 9 video(s)
multiply: 9 video(s)
myself: 9 video(s)
nothing: 9 video(s)
october: 9 video(s)
odd: 9 video(s)
offer: 9 video(s)
on: 9 video(s)
only: 9 video(s)
opposite: 9 video(s)
out: 9 video(s)
overlook: 9 video(s)
path: 9 video(s)
percent: 9 video(s)
physics: 9 video(s)
piano: 9 video(s)
pick: 9 video(s)
pie: 9 video(s)
plate: 9 video(s)
pocket: 9 video(s)
popcorn: 9 video(s)
positive: 9 video(s)
pregnant: 9 video(s)
prevent: 9 video(s)
proof: 9 video(s)
pumpkin: 9 video(s)
purpose: 9 video(s)
race: 9 video(s)
realize: 9 video(s)
recognize: 9 video(s)
refuse: 9 video(s)
relationship: 9 video(s)
repeat: 9 video(s)
replace: 9 video(s)
report: 9 video(s)
represent: 9 video(s)
request: 9 video(s)
result: 9 video(s)
reveal: 9 video(s)
ring: 9 video(s)
rob: 9 video(s)
rock: 9 video(s)
role: 9 video(s)
rope: 9 video(s)
rush: 9 video(s)
salute: 9 video(s)
satisfy: 9 video(s)
search: 9 video(s)
selfish: 9 video(s)
sensitive: 9 video(s)
serve: 9 video(s)
seven: 9 video(s)
shampoo: 9 video(s)
she: 9 video(s)
shelf: 9 video(s)
shopping: 9 video(s)
sign language: 9 video(s)
similar: 9 video(s)
sing: 9 video(s)
six: 9 video(s)
skeleton: 9 video(s)
sketch: 9 video(s)
skill: 9 video(s)
sleepy: 9 video(s)
slip: 9 video(s)
smell: 9 video(s)
sneeze: 9 video(s)
snob: 9 video(s)
specific: 9 video(s)
stamp: 9 video(s)
steel: 9 video(s)
strawberry: 9 video(s)
subtract: 9 video(s)
subway: 9 video(s)
suffer: 9 video(s)
surface: 9 video(s)
sweep: 9 video(s)
swing: 9 video(s)
switzerland: 9 video(s)
tale: 9 video(s)
tan: 9 video(s)
teeth: 9 video(s)
terrible: 9 video(s)
thankful: 9 video(s)
they: 9 video(s)
through: 9 video(s)
tiptoe: 9 video(s)
title: 9 video(s)
tooth: 9 video(s)
toothbrush: 9 video(s)
total: 9 video(s)
tough: 9 video(s)
tradition: 9 video(s)
trophy: 9 video(s)
trouble: 9 video(s)
true: 9 video(s)
trust: 9 video(s)
under: 9 video(s)
verb: 9 video(s)
wall: 9 video(s)
watermelon: 9 video(s)
way: 9 video(s)
weird: 9 video(s)
while: 9 video(s)
wide: 9 video(s)
willing: 9 video(s)
wish: 9 video(s)
wonderful: 9 video(s)
workshop: 9 video(s)
worse: 9 video(s)
wrench: 9 video(s)
river: 10 video(s)
across: 10 video(s)
actor: 10 video(s)
agree: 10 video(s)
alarm: 10 video(s)
allergy: 10 video(s)
almost: 10 video(s)
announce: 10 video(s)
apartment: 10 video(s)
attention: 10 video(s)
audience: 10 video(s)
august: 10 video(s)
autumn: 10 video(s)
away: 10 video(s)
beautiful: 10 video(s)
become: 10 video(s)
below: 10 video(s)
best: 10 video(s)
bet: 10 video(s)
bicycle: 10 video(s)
biology: 10 video(s)
boyfriend: 10 video(s)
break: 10 video(s)
bridge: 10 video(s)
brush: 10 video(s)
building: 10 video(s)
busy: 10 video(s)
camera: 10 video(s)
camp: 10 video(s)
caption: 10 video(s)
care: 10 video(s)
carry: 10 video(s)
celebrate: 10 video(s)
certificate: 10 video(s)
chain: 10 video(s)
chance: 10 video(s)
character: 10 video(s)
chase: 10 video(s)
classroom: 10 video(s)
clear: 10 video(s)
climb: 10 video(s)
command: 10 video(s)
community: 10 video(s)
complain: 10 video(s)
compromise: 10 video(s)
contribute: 10 video(s)
cop: 10 video(s)
couch: 10 video(s)
cracker: 10 video(s)
curious: 10 video(s)
curriculum: 10 video(s)
dad: 10 video(s)
deny: 10 video(s)
describe: 10 video(s)
diaper: 10 video(s)
disagree: 10 video(s)
dissolve: 10 video(s)
divide: 10 video(s)
dolphin: 10 video(s)
double: 10 video(s)
doubt: 10 video(s)
dumb: 10 video(s)
earth: 10 video(s)
earthquake: 10 video(s)
eight: 10 video(s)
embarrass: 10 video(s)
emotion: 10 video(s)
encourage: 10 video(s)
energy: 10 video(s)
enough: 10 video(s)
evaluate: 10 video(s)
evidence: 10 video(s)
exact: 10 video(s)
exaggerate: 10 video(s)
expect: 10 video(s)
fancy: 10 video(s)
favorite: 10 video(s)
finally: 10 video(s)
fox: 10 video(s)
french: 10 video(s)
fruit: 10 video(s)
function: 10 video(s)
gather: 10 video(s)
germany: 10 video(s)
gloves: 10 video(s)
goat: 10 video(s)
goodbye: 10 video(s)
grow: 10 video(s)
gum: 10 video(s)
half: 10 video(s)
hawaii: 10 video(s)
herself: 10 video(s)
highway: 10 video(s)
homework: 10 video(s)
honor: 10 video(s)
ice cream: 10 video(s)
if: 10 video(s)
increase: 10 video(s)
india: 10 video(s)
information: 10 video(s)
interpret: 10 video(s)
interview: 10 video(s)
invite: 10 video(s)
israel: 10 video(s)
jesus: 10 video(s)
keep: 10 video(s)
keyboard: 10 video(s)
land: 10 video(s)
lawyer: 10 video(s)
lead: 10 video(s)
lesbian: 10 video(s)
line: 10 video(s)
lock: 10 video(s)
loud: 10 video(s)
lousy: 10 video(s)
lunch: 10 video(s)
machine: 10 video(s)
mad: 10 video(s)
memorize: 10 video(s)
minus: 10 video(s)
monday: 10 video(s)
mountain: 10 video(s)
mouth: 10 video(s)
mushroom: 10 video(s)
napkin: 10 video(s)
neck: 10 video(s)
next: 10 video(s)
open: 10 video(s)
overwhelm: 10 video(s)
owe: 10 video(s)
page: 10 video(s)
pain: 10 video(s)
parade: 10 video(s)
parents: 10 video(s)
perfect: 10 video(s)
period: 10 video(s)
philosophy: 10 video(s)
photographer: 10 video(s)
place: 10 video(s)
policy: 10 video(s)
popular: 10 video(s)
pray: 10 video(s)
predict: 10 video(s)
presentation: 10 video(s)
print: 10 video(s)
printer: 10 video(s)
private: 10 video(s)
procrastinate: 10 video(s)
project: 10 video(s)
protect: 10 video(s)
prove: 10 video(s)
provide: 10 video(s)
psychology: 10 video(s)
punish: 10 video(s)
puzzled: 10 video(s)
question: 10 video(s)
quick: 10 video(s)
rainbow: 10 video(s)
rake: 10 video(s)
rehearse: 10 video(s)
remove: 10 video(s)
revenge: 10 video(s)
review: 10 video(s)
rich: 10 video(s)
roof: 10 video(s)
rooster: 10 video(s)
rude: 10 video(s)
say: 10 video(s)
scientist: 10 video(s)
scotland: 10 video(s)
screwdriver: 10 video(s)
second: 10 video(s)
senate: 10 video(s)
separate: 10 video(s)
service: 10 video(s)
shrimp: 10 video(s)
shy: 10 video(s)
side: 10 video(s)
situation: 10 video(s)
slave: 10 video(s)
soccer: 10 video(s)
socks: 10 video(s)
solid: 10 video(s)
sometimes: 10 video(s)
spider: 10 video(s)
spin: 10 video(s)
square: 10 video(s)
stairs: 10 video(s)
stare: 10 video(s)
start: 10 video(s)
store: 10 video(s)
straw: 10 video(s)
structure: 10 video(s)
suggest: 10 video(s)
sun: 10 video(s)
support: 10 video(s)
suppose: 10 video(s)
sure: 10 video(s)
surprise: 10 video(s)
sweater: 10 video(s)
swim: 10 video(s)
symbol: 10 video(s)
taste: 10 video(s)
team: 10 video(s)
telephone: 10 video(s)
tennis: 10 video(s)
their: 10 video(s)
then: 10 video(s)
thing: 10 video(s)
third: 10 video(s)
thousand: 10 video(s)
three: 10 video(s)
tie: 10 video(s)
topic: 10 video(s)
touch: 10 video(s)
tournament: 10 video(s)
try: 10 video(s)
two: 10 video(s)
type: 10 video(s)
umbrella: 10 video(s)
vegetable: 10 video(s)
vocabulary: 10 video(s)
waste: 10 video(s)
we: 10 video(s)
wear: 10 video(s)
weekly: 10 video(s)
welcome: 10 video(s)
winter: 10 video(s)
without: 10 video(s)
wolf: 10 video(s)
worm: 10 video(s)
wristwatch: 10 video(s)
yourself: 10 video(s)
exchange: 11 video(s)
add: 11 video(s)
airplane: 11 video(s)
already: 11 video(s)
also: 11 video(s)
analyze: 11 video(s)
and: 11 video(s)
angry: 11 video(s)
appear: 11 video(s)
arm: 11 video(s)
army: 11 video(s)
arrest: 11 video(s)
asia: 11 video(s)
ask: 11 video(s)
attitude: 11 video(s)
attract: 11 video(s)
bald: 11 video(s)
barely: 11 video(s)
baseball: 11 video(s)
beg: 11 video(s)
benefit: 11 video(s)
bite: 11 video(s)
blame: 11 video(s)
boat: 11 video(s)
body: 11 video(s)
borrow: 11 video(s)
boss: 11 video(s)
